OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
3607,704 N Sixth St,4.62107E+11,2,1,,704 N Sixth St,,,House,,1970/01/01 00:00:00+00,,,,,,,3658.310425,291.0029584,
3608,705 W Healey St,4.32013E+11,2,2,,705 W Healey St,,,House,,1970/01/01 00:00:00+00,,,,,,,1918.288696,210.7455384,
3609,705 W Hill St,4.22012E+11,2,2,,705 W Hill St,,,House,,1970/01/01 00:00:00+00,,,,,,,1329.772583,163.9553092,
3610,707 W Park St,4.22012E+11,2,2,,707 W Park St,,,House,,1970/01/01 00:00:00+00,,,,,,,2319.144653,209.630118,
3611,712 S State St,4.32013E+11,2,2,,712 S State St,,,House,,1970/01/01 00:00:00+00,,,,,,,1737.386597,177.1955821,
3612,714 S State St,4.32013E+11,2,2,,714 S State St,,,House,,1970/01/01 00:00:00+00,,,,,,,1345.808594,156.8838007,
3613,715 Kenwood Rd,4.42015E+11,3,2,,715 Kenwood Rd,,,House,,1970/01/01 00:00:00+00,,,,,,,2057.630981,213.2733465,
3614,716 S State St,4.32013E+11,2,2,,716 S State St,,,House,,1970/01/01 00:00:00+00,,,,,,,1489.008423,179.2030552,
3620,75 E Armory Ave,432013426008 &  432013426009 & 1 more,72,5,,75 Armory,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,20031.33936,893.5810871,
3623,,,,,,,,,,,1970/01/01 00:00:00+00,,,,,,,2556.893433,222.8917922,
3624,804 N State St,4.22012E+11,2,1,,804 N State St,,,House,,1970/01/01 00:00:00+00,,,,,,,1476.874878,176.9407122,
3625,806 S Randolph St,4.32013E+11,4,2,,806 S Randolph St,,,House,,1970/01/01 00:00:00+00,,,,,,,1382.613892,152.6293284,
3626,805 N Prospect Ave,4.12011E+11,4,2,,805 N Prospect Ave,,,,,1970/01/01 00:00:00+00,,,,,,,1434.332764,182.2541401,
3633,807 W Church St,4.22012E+11,6,3,,807 W Church,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,5705.079468,434.3187135,
3642,312 E Green St,462118106014 & 462118106015 & 462118106018,143,16,,HERE Apartments,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,24410.79065,651.9645621,
3653,911 S Fourth St,4.62118E+11,,,,Phi Kappa Psi,,,,,1970/01/01 00:00:00+00,,,,,,Yes,8550.885498,430.9742907,
3657,209 E ARMORY AVE,4.62118E+11,,,,209 E ARMORY AVE,,,,,1970/01/01 00:00:00+00,,,,,,Yes,9112.973999,445.2950372,
3666,806 S First St,4.62118E+11,6, ,986,806 S First St, ,AI10-0080,Building,,2011/08/09 00:00:00+00,,,,,,Yes,2458.709961,212.461571,
3668,213 W Green St,432013208001 thru -003,34,3,,213 W Green St,,,Building,,1970/01/01 00:00:00+00,,,,,,,9550.0979,564.3427896,
3669,201 W Green St,"432013208011,-022 thru -023",48,3,,201 W Green St,,,Building,,1970/01/01 00:00:00+00,,,,,,,11212.77478,619.328109,
3670,3102 Palmer Dr,4.62029E+11,,,,,,,Building,,1970/01/01 00:00:00+00,,,,,,,15342.86487,769.274078,
3675,512 E Green St,4.62118E+11,8,3,1200,512 E Green,,AI07-0034,,,2007/04/27 00:00:00+00,,,,,,,8673.479126,399.0245917,
3676,4540 Nicklaus Dr,4.62029E+11,,,,,,,,,1970/01/01 00:00:00+00,,,,,,,10704.78064,565.5412182,
3677,4520 Nicklaus Dr,4.62029E+11,,,,,,,,,1970/01/01 00:00:00+00,,,,,,,10704.79797,565.5410305,
3678,4530 Nicklaus Dr,4.62029E+11,,,,,,,,,1970/01/01 00:00:00+00,,,,,,,13027.20056,656.8185558,
3679,4550 Nicklaus Dr,4.62029E+11,,,,,,,,,1970/01/01 00:00:00+00,,,,,,,11853.4115,521.3843322,
3680,4510 Nicklaus Dr,4.62029E+11,,,,,,,,,1970/01/01 00:00:00+00,,,,,,,11073.24902,503.919987,
3681,4502 Nicklaus Dr,4.62029E+11,,,,,,,,,1970/01/01 00:00:00+00,,,,,,,15584.97693,759.6319348,
4071,210 S Fourth St,462107377002 thru -004,77,7,,,,,Building,,1970/01/01 00:00:00+00,,,,,,,16389.22278,846.4765302,
4072,202 S Fourth St,4.62107E+11,103,7,,,,,Building,,1970/01/01 00:00:00+00,,,,,,,26260.63269,1470.629616,
