OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
1200,602 W Springfield Ave,4.22012E+11,3,2,,602 W Springfield,,,House,,1970/01/01 00:00:00+00,,,,,,,1560.994263,177.4050489,
1201,33 E Chalmers St,4.32013E+11,6,3,,33 E Chalmers,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,1831.087158,172.9317081,
1202,1106 S Euclid St,4.62118E+11,23,4,,1106 S Euclid,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,7918.532959,372.5880295,
1203,51 E John St,432013279001 & 432013279002 & 2 more,72,4,,Maywood Apartments,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,21977.82605,1066.481964,
1204,510 E Green St,4.62118E+11,4,3,,510 E Green,,,Over Commercial,,1970/01/01 00:00:00+00,,,,,,,2274.027344,207.4606136,
1205,614 W Hill St,4.22012E+11,3,3,,614 W Hill,,,House,,1970/01/01 00:00:00+00,,,,,,,1602.394531,169.0582148,
1206,301 E University Ave,4.62107E+11,3,3,,301 E University,,,Building,,1970/01/01 00:00:00+00,,,,,,,2075.434448,200.5146334,
1207,411 E Park St,4.62107E+11,6,2,,411 E Park,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,5748.768555,307.2152779,
1208,404 E Church St,4.62107E+11,4,2,,404 E Church,,,House,,1970/01/01 00:00:00+00,,,,,,,2915.054321,321.1733328,
1209,619 W Springfield Ave,4.32013E+11,3,2,,619 W Springfield,,,House,,1970/01/01 00:00:00+00,,,,,,,1274.59375,152.0223062,
1210,612 W Healey St,4.32013E+11,2,2,,612 W Healey,,,House,,1970/01/01 00:00:00+00,,,,,,,1710.941284,174.3748368,
1211,306 S State St,4.22012E+11,9,2,,306 S State,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,3244.727661,230.101134,
1212,302 S State St,4.22012E+11,4,3,,302 S State,,,House,,1970/01/01 00:00:00+00,,,,,,,1638.014771,167.4471712,
1213,309 W University Ave,4.22012E+11,4,3,,309 W University,,,House,,1970/01/01 00:00:00+00,,,,,,,2665.89917,213.3918847,
1214,407 N Elm St,4.22012E+11,3,3,,407 N Elm,,,House,,1970/01/01 00:00:00+00,,,,,,,1593.728394,161.5844093,
1215,614 W Springfield Ave,4.22012E+11,4,3,,614 W Springfield,,,House,,1970/01/01 00:00:00+00,,,,,,,1242.880859,149.4783738,
1216,1014 W Church St,4.22011E+11,4,2,,1014 W Church,,,House,,1970/01/01 00:00:00+00,,,,,,,1843.685669,190.8494484,
1217,1006 W Church St,4.22011E+11,4,3,,1006 W Church,,,Building,,1970/01/01 00:00:00+00,,,,,,,1777.481201,197.6150365,
1218,1002 W Church St,4.22011E+11,8,3,,1002 W Church,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,2898.889648,229.1072077,
1219,1010 W Church St,4.22011E+11,3,1,,1010 W Church,,,Building,,1970/01/01 00:00:00+00,,,,,,,2815.845215,234.6576926,
1220,512 W White St,4.22012E+11,3,2,,512 W White,,,House,,1970/01/01 00:00:00+00,,,,,,,1811.968506,175.9791101,
1221,406 S Prarie St,4.32013E+11,5,2,,406 S Prarie St,,,House,,1970/01/01 00:00:00+00,,,,,,Yes,2188.798584,210.4769305,
1223,3731 Harbor Estates Ln,4.12004E+11,8,2,,3731 Harbor Estates,Parkland Cove,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,4511.013916,272.1416782,
1224,1202 Myrtle Beach Ave,4.12004E+11,8,2,,1202 Myrtle Beach,Parkland Cove,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,4973.876587,287.7530467,
